FIL-USDT-SWAP,NEAR-USDT-SWAP,FIL-USDT-SWAP_log,NEAR-USDT-SWAP_log,Spread,ZScore
1.268,1.487,0.2374408560150342,0.3967606674780181,0.014091092814695921,-1.8163404508573662
1.268,1.487,0.2374408560150342,0.3967606674780181,0.014091092814695921,-1.5986105840714397
1.27,1.484,0.23901690047049992,0.3947411447451887,0.016803993720732407,0.2543242279217136
1.27,1.484,0.23901690047049992,0.3947411447451887,0.016803993720732407,0.21756653849552166
1.27,1.484,0.23901690047049992,0.3947411447451887,0.016803993720732407,0.29716905099577395
1.27,1.484,0.23901690047049992,0.3947411447451887,0.016803993720732407,0.39148806267757885
1.27,1.484,0.23901690047049992,0.3947411447451887,0.016803993720732407,0.4279163585022048
1.271,1.484,0.23980399220731693,0.3947411447451887,0.01759108545754942,0.9924859691106616
1.271,1.484,0.23980399220731693,0.3947411447451887,0.01759108545754942,1.0547664380050557
1.271,1.484,0.23980399220731693,0.3947411447451887,0.01759108545754942,1.1210668523865
1.271,1.484,0.23980399220731693,0.3947411447451887,0.01759108545754942,1.0396937077511266
1.271,1.483,0.23980399220731693,0.3940670631557951,0.01797054838245518,1.2254903691560706
1.271,1.483,0.23980399220731693,0.3940670631557951,0.01797054838245518,1.138995667679394
1.27,1.477,0.23901690047049992,0.3900130035492428,0.019465621505575237,1.9450050316744707
1.27,1.474,0.23901690047049992,0.38797979376714486,0.02061018285096955,2.374175862884879
1.27,1.485,0.23901690047049992,0.395414772254663,0.016424786412501308,-0.4025210280891593
1.268,1.486,0.2374408560150342,0.39608794629556743,0.01446978992133019,-1.5777820023231643
1.267,1.479,0.23665190133900194,0.39136618372866283,0.016338872287905704,-0.3900038600429656
1.267,1.48,0.23665190133900194,0.3920420877760237,0.015958383440853957,-0.6492824547311277
1.268,1.481,0.2374408560150342,0.3927175352856618,0.016367106270088333,-0.3752266079977767
1.269,1.476,0.23822918873225055,0.3893357261782807,0.019059171703865257,1.2661908199397878
1.269,1.479,0.23822918873225055,0.39136618372866283,0.017916159681154314,0.4883419752137073
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-1.2401537204423272
1.267,1.481,0.23665190133900194,0.3927175352856618,0.015578151594056067,-1.1577538251519568
